Desc,Port,Protocol
tcpmux,1,tcp
compressnet,2,tcp
compressnet,3,tcp
rje,5,tcp
echo,7,tcp
discard,9,tcp
systat,11,tcp
daytime,13,tcp
,15,tcp
qotd,17,tcp
msp,18,tcp
chargen,19,tcp
ftp-data,20,tcp
ftp,21,tcp
ssh,22,tcp
telnet,23,tcp
,24,tcp
smtp,25,tcp
nsw-fe,27,tcp
msg-icp,29,tcp
msg-auth,31,tcp
dsp,33,tcp
,35,tcp
time,37,tcp
rap,38,tcp
rlp,39,tcp
graphics,41,tcp
name,42,tcp
nameserver,42,tcp
nicname,43,tcp
mpm-flags,44,tcp
mpm,45,tcp
mpm-snd,46,tcp
,47,tcp
auditd,48,tcp
tacacs,49,tcp
re-mail-ck,50,tcp
xns-time,52,tcp
domain,53,tcp
xns-ch,54,tcp
isi-gl,55,tcp
xns-auth,56,tcp
,57,tcp
xns-mail,58,tcp
,59,tcp
,61,tcp
acas,62,tcp
whoispp,63,tcp
whois++,63,tcp
covia,64,tcp
tacacs-ds,65,tcp
sql-net,66,tcp
sql*net,66,tcp
bootps,67,tcp
bootpc,68,tcp
tftp,69,tcp
gopher,70,tcp
netrjs-1,71,tcp
netrjs-2,72,tcp
netrjs-3,73,tcp
netrjs-4,74,tcp
,75,tcp
deos,76,tcp
,77,tcp
vettcp
finger,79,tcp
http,80,tcp
www,80,tcp
www-http,80,tcp
xfer,82,tcp
mit-ml-dev,83,tcp
ctf,84,tcp
mit-ml-dev,85,tcp
mfcobol,86,tcp
,87,tcp
kerberos,88,tcp
su-mit-tg,89,tcp
dnsix,90,tcp
mit-dov,91,tcp
npp,92,tcp
dcp,93,tcp
objcall,94,tcp
supdup,95,tcp
dixie,96,tcp
swift-rvf,97,tcp
tacnews,98,tcp
metagram,99,tcp
hostname,101,tcp
iso-tsap,102,tcp
gppitnp,103,tcp
acr-nema,104,tcp
cso,105,tcp
csnet-ns,105,tcp
3com-tsmux,106,tcp
rtelnet,107,tcp
snagas,108,tcp
pop2,109,tcp
pop3,110,tcp
sunrpc,111,tcp
mcidas,112,tcp
ident,113,tcp,
auth,113,tcp
sftp,115,tcp
ansanotify,116,tcp
uucp-path,117,tcp
sqlserv,118,tcp
nntp,119,tcp
cfdptkt,120,tcp
erpc,121,tcp
smakynet,122,tcp
ntp,123,tcp
ansatrader,124,tcp
locus-map,125,tcp
nxedit,126,tcp
locus-con,127,tcp
gss-xlicen,128,tcp
pwdgen,129,tcp
cisco-fna,130,tcp
cisco-tna,131,tcp
cisco-sys,132,tcp
statsrv,133,tcp
ingres-net,134,tcp
epmap,135,tcp
profile,136,tcp
netbios-ns,137,tcp
netbios-dgm,138,tcp
netbios-ssn,139,tcp
emfis-data,140,tcp
emfis-cntl,141,tcp
bl-idm,142,tcp
imap,143,tcp
uma,144,tcp
uaac,145,tcp
iso-tp0,146,tcp
iso-ip,147,tcp
jargon,148,tcp
aed-512,149,tcp
sql-net,150,tcp
hems,151,tcp
bftp,152,tcp
sgmp,153,tcp
netsc-prod,154,tcp
netsc-dev,155,tcp
sqlsrv,156,tcp
knet-cmp,157,tcp
pcmail-srv,158,tcp
nss-routing,159,tcp
sgmp-traps,160,tcp
snmp,161,tcp
snmptrap,162,tcp
cmip-man,163,tcp
cmip-agent,164,tcp
xns-courier,165,tcp
s-net,166,tcp
namp,167,tcp
rsvd,168,tcp
send,169,tcp
print-srv,170,tcp
multiplex,171,tcp
cl-1,172,tcp
cl/1,172,tcp
xyplex-mux,173,tcp
mailq,174,tcp
vmnet,175,tcp
genrad-mux,176,tcp
xdmcp,177,tcp
nextstep,178,tcp
bgp,179,tcp
ris,180,tcp
unify,181,tcp
audit,182,tcp
ocbinder,183,tcp
ocserver,184,tcp
remote-kis,185,tcp
kis,186,tcp
aci,187,tcp
mumps,188,tcp
qft,189,tcp
gacp,190,tcp
prospero,191,tcp
osu-nms,192,tcp
srmp,193,tcp
irc,194,tcp
dn6-nlm-aud,195,tcp
dn6-smm-red,196,tcp
dls,197,tcp
dls-mon,198,tcp
smux,199,tcp
src,200,tcp
at-rtmp,201,tcp
at-nbp,202,tcp
at-3,203,tcp
at-echo,204,tcp
at-5,205,tcp
at-zis,206,tcp
at-7,207,tcp
at-8,208,tcp
qmtp,209,tcp
z39-50,210,tcp
z39.50,210,tcp
914c-g,211,tcp
914c/g,211,tcp
anet,212,tcp
ipx,213,tcp
vmpwscs,214,tcp
softpc,215,tcp
CAIlic,216,tcp
dbase,217,tcp
mpp,218,tcp
uarps,219,tcp
imap3,220,tcp
fln-spx,221,tcp
rsh-spx,222,tcp
cdc,223,tcp
masqdialer,224,tcp
direct,242,tcp
sur-meas,243,tcp
inbusiness,244,tcp
link,245,tcp
dsp3270,246,tcp
subntbcst-tftp,247,tcp
subntbcst_tftp,247,tcp
bhfhs,248,tcp
rap,256,tcp
set,257,tcp
esro-gen,259,tcp
openport,260,tcp
nsiiops,261,tcp
arcisdms,262,tcp
hdap,263,tcp
bgmp,264,tcp
x-bone-ctl,265,tcp
sst,266,tcp
td-service,267,tcp
td-replica,268,tcp
manet,269,tcp
,270,tcp
pt-tls,271,tcp
